src,dst
0,277
1,280
4,287
5,313
6,287
7,330
8,7
9,8
10,341
12,24
13,24
14,24
17,24
18,24
19,24
20,24
22,374
24,324
34,401
40,404
42,406
44,408
48,419
49,425
52,433
56,437
59,283
60,443
61,449
64,449
68,453
71,474
74,478
85,430
90,482
100,487
102,511
103,511
106,515
110,521
122,536
126,538
128,542
131,401
133,544
137,136
138,558
143,567
149,571
153,583
161,590
169,466
170,607
177,614
181,619
182,287
184,625
191,472
192,193
194,466
196,486
199,647
201,466
205,656
225,463
227,461
229,461
230,382
231,459
232,463
233,382
234,459
235,463
236,382
250,619
259,193
269,386
271,466
272,486
