src,dst
1,4
1,291
1,294
1,295
1,299
1,300
9,299
9,300
9,285
9,295
9,291
9,59
12,285
12,295
12,291
12,59
12,305
13,317
13,299
13,300
13,294
13,295
13,291
14,299
14,300
14,291
14,59
14,317
17,299
17,300
17,294
17,295
17,59
17,305
18,291
19,59
19,291
19,299
19,300
19,294
19,295
20,299
20,300
20,294
20,295
20,4
20,59
20,291
104,512
169,470
192,470
192,471
194,470
194,471
197,427
201,427
206,597
225,468
225,429
225,469
227,468
227,429
227,469
229,285
231,225
234,225
235,468
235,429
235,469
241,427
259,470
259,471
271,427
