src,dst
16,368
23,23
26,27
27,26
28,396
29,397
29,87
31,31
36,37
37,36
38,403
38,38
38,39
39,403
39,38
39,38
41,405
43,408
43,409
43,44
43,410
43,411
43,412
43,413
45,46
46,418
50,51
50,51
51,51
51,50
53,78
53,434
53,435
55,101
62,450
63,160
73,476
73,477
73,117
75,480
80,484
83,125
84,84
86,488
87,29
87,397
88,88
98,116
108,519
109,520
114,116
116,98
116,114
125,83
127,163
134,552
134,553
134,554
135,555
137,140
142,564
142,565
142,566
144,569
150,575
150,576
150,577
154,587
158,158
159,159
160,160
161,464
162,591
163,127
167,31
172,612
174,23
180,180
184,627
185,628
202,50
202,51
212,666
212,667
212,668
212,669
216,215
216,214
218,671
218,672
218,633
223,674
223,224
223,675
224,674
224,675
224,223
236,421
236,423
236,419
236,48
237,237
238,237
243,717
248,718
251,627
268,383
270,725
275,215
275,214
276,237
