src,relation,dst
0,father,277
0,mother,278
0,maternal cousin,279
1,father,280
1,mother,281
1,possible relative,282
1,husband,283
1,daughter,59
1,son,284
1,father-in-law,24
1,mother-in-law,285
1,sister-in-law,286
1,co-brother-in-law,287
1,nephew/godson,6
1,nephew,182
1,niece,4
1,brother-in-law,288
1,brother-in-law,17
1,sister-in-law,289
1,nephew,290
1,niece,291
1,brother-in-law,292
1,sister-in-law,293
1,niece,294
1,niece,295
1,brother-in-law,296
1,brother-in-law,297
1,sister-in-law,298
1,niece,299
1,niece,300
1,nephew,301
3,daughter,302
4,paternal ancestor,303
4,paternal ancestor,304
4,paternal grandfather,8
4,paternal grandmother,305
4,maternal grandfather,24
4,maternal grandmother,285
4,father,287
4,mother,286
4,brother,306
4,brother,307
4,maternal uncle,308
4,maternal aunt by marriage,298
4,maternal first cousin,299
4,maternal first cousin,300
4,maternal first cousin,301
4,maternal uncle,20
4,maternal uncle,292
4,maternal aunt by marriage,293
4,maternal first cousin,285
4,maternal first cousin,295
4,maternal uncle,18
4,maternal uncle,17
4,maternal aunt by marriage,289
4,maternal first cousin,290
4,maternal first cousin,291
4,maternal uncle,309
4,maternal aunt by marriage,310
4,maternal first cousin,59
4,maternal first cousin,284
4,paternal ancestors,311
4,House of Black,312
5,father,313
5,mother,314
5,sister,315
5,husband,316
5,son,287
5,daughter-in-law,286
5,grandson,306
5,grandson,307
5,granddaughter,317
5,brother-in-law,318
5,nephew,319
5,niece-in-law,320
5,great-nieces or nephews,321
5,father-in-law,7
5,mother-in-law,322
5,in-laws,323
6,paternal ancestor,303
6,paternal ancestor,304
6,paternal great-grandfather,7
6,paternal great-grandmother,322
6,maternal great-grandfather,324
6,maternal great-grandmother,325
6,paternal grandfather,316
6,paternal grandmother,305
6,maternal grandfather,24
6,maternal grandmother,285
6,father,287
6,mother,286
6,brother,307
6,sister,326
6,maternal uncle/godfather,283
6,aunt by marriage/godmother,310
6,maternal first cousin,59
6,maternal first cousin,284
6,maternal uncle,288
6,maternal uncle,17
6,aunt by marriage,289
6,maternal first cousin,290
6,maternal first cousin,291
6,maternal uncle,292
6,aunt by marriage,293
6,maternal first cousin,294
6,maternal first cousin,295
6,maternal uncle,308
6,aunt by marriage,298
6,maternal first cousin,299
6,maternal first cousin,300
6,maternal first cousin,301
6,maternal uncle,20
6,paternal ancestors,311
6,House of Black,312
7,paternal ancestor,303
7,paternal ancestor,304
7,paternal ancestor,327
7,paternal ancestor,328
7,paternal grandmother,329
7,father,330
7,possible brother,331
7,possible sister-in-law,332
7,wife,322
7,son,8
7,daughter-in-law,305
7,grandson,287
7,granddaughter-in-law,286
7,great-grandson,306
7,great-grandson,307
7,great-granddaughter,305
7,Possible nephew,333
8,paternal ancestor,303
8,paternal ancestor,304
8,paternal ancestor,327
8,paternal ancestor,328
8,paternal great-grandmother,329
8,paternal grandfather,330
8,father,7
8,mother,322
8,possible uncle,331
8,possible aunt by marriage,332
8,possible cousin,334
8,distant cousin,335
8,wife,305
8,son,287
8,daughter-in-law,286
8,grandson,306
8,grandson,307
8,granddaughter,305
8,father-in-law,313
8,mother-in-law,314
8,sister-in-law,315
8,brother-in-law,318
8,nephew,319
8,paternal ancestors,311
8,House of Black,312
8,House of Gaunt,336
8,in-laws,337
9,paternal ancestor,303
9,paternal ancestor,304
9,paternal grandfather,7
9,paternal grandmother,322
9,maternal grandfather,313
9,maternal grandmother,314
9,Charlus Potter †,338
9,née Black,332
9,father,8
9,mother,305
9,maternal aunt,315
9,maternal uncle by marriage,318
9,maternal cousin,319
9,cousin-in-law,320
9,first cousins once removed,339
9,distant cousin,335
9,wife,286
9,son,306
9,son,307
9,daughter,305
9,father-in-law,24
9,mother-in-law,285
9,brother-in-law,308
9,sister-in-law,298
9,brother-in-law,20
9,brother-in-law,292
9,sister-in-law,293
9,brother-in-law,288
9,brother-in-law,17
9,sister-in-law,289
9,brother-in-law,309
9,sister-in-law,310
9,niece,299
9,niece,300
9,nephew,301
9,niece,285
9,niece,295
9,nephew,290
9,niece,291
9,niece,59
9,nephew,284
